instance;n;m;density;min_deg;max_deg;mean_deg;clustering;diameter;avg_path_len;ecc_min;ecc_max;ecc_std;betw_avg;betw_max;close_avg;close_max;degeneracy;deg_assort;clustering_avg;transitivity;spectral_radius;algebraic_conn;cyclomatic;girth
ba_1230_n129_m1.gml;35;50;0.084034;2;6;2.8571;0.142857;7;3.3159183673469386;4;7;0.7772268862134539;0.07313470842882606;0.2713903743315508;0.30105829814208723;0.4;2;0.06449650136902946;0.14285714285714285;0.12096774193548387;3.764360143442843;0.234721555823368;16;
ba_1231_n185_m2.gml;183;392;0.023539;2;30;4.2842;0.074492;6;3.3092060079429064;4;6;0.5222511607418738;0.012858499770917126;0.24546227508470203;0.30536744632878887;0.4666666666666667;3;-0.058558332501233094;0.07449204025552456;0.055350553505535055;8.173506029002505;0.5733212529543901;210;
ba_1233_n161_m3.gml;160;521;0.040959;2;53;6.5125;0.162496;5;2.632734375;3;5;0.402919036532155;0.010438559828039167;0.25446132454588627;0.3823230531830156;0.5845588235294118;5;-0.12586640050301673;0.16249634350048808;0.10646211064621107;12.569184860649763;1.4739595975230229;362;
ba_1234_n138_m2.gml;137;311;0.033383;2;22;4.5401;0.093536;6;3.115776013639512;4;6;0.5407374942321791;0.015842119491754528;0.2101188943032872;0.3231898678281692;0.45791245791245794;3;-0.14468056152172698;0.09353599510149645;0.053280710409472125;7.466299214355214;0.6661918047873401;175;
ba_123_n89_m3.gml;89;279;0.071246;2;22;6.2697;0.135516;4;2.482514833985608;3;4;0.4245942388245211;0.017364657814096015;0.13075057095231507;0.4030680028458189;0.546583850931677;4;-0.11942459311171608;0.1355163668248512;0.10519645120405577;9.315617110099085;1.4445930545304018;191;
ba_1242_n75_m3.gml;74;248;0.091818;2;22;6.7027;0.1981;4;2.3382030679327976;3;4;0.49706957183106815;0.019031017318688552;0.12832346236014933;0.42821475651137186;0.5658914728682171;5;-0.16120826960082948;0.19810001357988974;0.16188436830835118;10.12718425149691;1.5722170483558053;175;
ba_1244_n198_m2.gml;197;399;0.020667;2;26;4.0508;0.038105;6;3.447138550336262;4;6;0.5270883746155364;0.01263962047138262;0.24611538176720094;0.2926192968323218;0.4434389140271493;3;-0.08110613587955989;0.0381046477493178;0.02975206611570248;7.367226228156678;0.5530717657259122;203;
ba_1247_n119_m2.gml;114;239;0.037106;2;20;4.193;0.139117;6;3.177131425053863;4;6;0.5441425410270464;0.01968971100317165;0.20908571562513684;0.3167702773409389;0.45564516129032256;3;-0.11286985980466327;0.13911717450498615;0.066815144766147;6.816018466615775;0.6139213134443839;126;
ba_1252_n62_m2.gml;61;143;0.078142;2;19;4.6885;0.137038;5;2.569201827465735;3;5;0.45014853172937647;0.0273224043715847;0.23961605556483956;0.3903302591419953;0.5660377358490566;4;-0.11634064942771244;0.13703760951134447;0.13938753959873285;7.481275495315426;0.751466849464702;83;
ba_1258_n61_m2.gml;61;130;0.071038;2;17;4.2623;0.107881;5;2.642837946788498;3;5;0.493439899780079;0.02859127535426507;0.22399793902784937;0.3786020293921458;0.5263157894736842;4;-0.17530469252568806;0.10788113365258976;0.10240202275600506;6.876877514499306;0.8402325321569671;70;
ba_125_n128_m3.gml;128;375;0.046137;2;40;5.8594;0.116372;4;2.65576171875;3;4;0.3216435757849828;0.013306930383702035;0.2722040891073386;0.37811103484408015;0.5746606334841629;4;-0.1178927129771043;0.11637197471538609;0.07806691449814127;9.886472285653772;1.3220759219572864;248;
