instance;n;m;density;min_deg;max_deg;mean_deg;clustering;diameter;avg_path_len;ecc_min;ecc_max;ecc_std;betw_avg;betw_max;close_avg;close_max;degeneracy;deg_assort;clustering_avg;transitivity;spectral_radius;algebraic_conn;cyclomatic;girth
ba_5736_n197_m1.gml;43;58;0.06423;2;9;2.6977;0.0;7;3.618171984856679;4;7;0.7838278858768705;0.06595899846041649;0.4908080305292849;0.27677869651380205;0.4117647058823529;2;-0.189857856319631;0.0;0.0;3.519026679450448;0.20898158940735992;16;
ba_573_n78_m3.gml;78;243;0.080919;2;26;6.2308;0.156806;5;2.408284023668639;3;5;0.5229763603684907;0.018941584731058416;0.20045538638332436;0.4147217776730757;0.5789473684210527;4;-0.17067029626737418;0.15680610281289015;0.12772133526850507;9.156494160219276;1.4215355225581854;166;
ba_5740_n120_m2.gml;116;274;0.041079;2;21;4.7241;0.093225;6;2.9241973840665874;3;6;0.5492265667653956;0.01710197532812541;0.16660924785059938;0.3440381395187733;0.4637096774193548;4;-0.1909295159130327;0.09322484138994228;0.07250755287009064;8.008087432646644;0.7902620235182284;159;
ba_5756_n103_m2.gml;103;210;0.039977;2;25;4.0777;0.111852;6;3.0466584975021207;3;6;0.5495522989547535;0.02055968018275271;0.33742738265872346;0.3304479137828363;0.504950495049505;3;-0.13269466577770708;0.11185203590115068;0.07231726283048212;7.033551778482183;0.6373412334673567;108;
ba_5761_n138_m3.gml;138;408;0.043161;2;29;5.913;0.093401;5;2.754043268220962;3;5;0.3392666640788297;0.013045189513444222;0.17180571238087214;0.36435544661488295;0.5074074074074074;4;-0.11705052682078954;0.09340056221946158;0.06945681211041853;9.079390089483812;1.27529997745048;271;
ba_5765_n79_m2.gml;75;158;0.056937;2;19;4.2133;0.138164;5;2.7904;3;5;0.5734883511361751;0.025042576823398742;0.2789991146054804;0.3591399009331639;0.524822695035461;3;-0.19376964288132245;0.13816414774309513;0.08589607635206786;6.623280318501617;0.7383377940921332;84;
ba_5766_n84_m2.gml;81;163;0.050309;2;24;4.0247;0.108794;5;2.882487425697302;3;5;0.5700442657093924;0.024285044538209094;0.38905214728185694;0.3492319668158668;0.54421768707483;3;-0.12688371837393045;0.10879446789269656;0.07120743034055728;6.798953443184702;0.6434210062868142;83;
ba_5774_n75_m3.gml;75;231;0.083243;3;22;6.16;0.145768;4;2.436977777777778;3;4;0.4552898954390367;0.02013575219054671;0.17717130427055686;0.41082609048573965;0.5692307692307692;4;-0.08508271574786735;0.14576764847353083;0.12506680919294494;9.115484430882415;1.3494333421873768;157;
ba_5775_n92_m2.gml;92;184;0.043956;2;17;4.0;0.069598;6;3.05765595463138;4;6;0.5280416435430921;0.02323618410574932;0.20177342535276394;0.3280112134950007;0.455;3;-0.28650462919314384;0.06959799045796487;0.04105571847507331;6.178763617791542;0.6103234487652062;93;
ba_577_n88_m3.gml;88;261;0.068182;3;17;5.9318;0.134849;4;2.56301652892562;3;4;0.4114515225052653;0.018517168477072247;0.10921641314205138;0.38978739793989187;0.4943181818181818;4;-0.12641766490927883;0.13484909141660478;0.10714285714285714;8.06372198292677;1.4339911341007079;174;
