ppo_gnn_LSTM-PreRshaping,ppo_gnn_LSTM-PreRshaping_initial_local_crossings,ppo_gnn_LSTM-PreRshaping_improvement,ppo_gnn_LSTM-PreRshaping_solved,ppo_gnn_LSTM-PreRshaping_runtime
3,4,1,False,2.5
16,18,2,False,4.51
16,24,8,False,4.91
2,5,3,True,0.13
11,13,2,False,4.22
14,16,2,False,4.64
12,17,5,False,3.36
6,10,4,False,2.88
15,16,1,False,4.41
2,4,2,True,0.2
16,21,5,False,5.41
4,4,0,False,3.55
17,20,3,False,5.15
15,21,6,False,4.81
3,8,5,True,0.07
11,17,6,False,4.32
22,24,2,False,5.52
10,12,2,False,3.41
7,8,1,False,3.37
6,9,3,False,2.62
10,15,5,False,3.39
16,22,6,False,5.01
8,18,10,False,3.24
2,3,1,False,2.56
6,8,2,False,2.87
17,24,7,False,4.37
12,16,4,False,4.17
10,14,4,False,3.75
2,2,0,False,3.11
4,9,5,False,2.56
5,11,6,False,2.09
8,8,0,False,3.61
13,17,4,False,4.59
10,12,2,False,4.04
23,26,3,False,5.57
10,18,8,False,3.87
6,12,6,False,2.6
11,13,2,False,4.16
13,15,2,False,5.39
11,18,7,False,4.16
2,4,2,True,0.1
4,5,1,False,2.74
10,15,5,False,4.21
5,8,3,False,3.02
7,16,9,False,3.51
12,15,3,False,4.29
10,12,2,False,2.99
11,16,5,False,4.06
6,7,1,False,3.23
12,16,4,False,3.93
9,12,3,False,3.4
10,20,10,False,2.91
9,15,6,False,3.12
7,7,0,False,3.25
16,19,3,False,5.23
21,25,4,False,5.75
5,8,3,False,3.12
22,29,7,False,5.72
13,15,2,False,4.05
19,23,4,False,4.93
17,25,8,False,4.46
5,8,3,False,3.12
9,12,3,False,3.43
10,10,0,False,3.78
11,13,2,False,3.19
17,24,7,False,4.51
14,17,3,False,4.47
7,10,3,False,3.05
4,5,1,False,3.19
15,24,9,False,4.77
6,8,2,False,2.86
4,7,3,False,2.65
6,8,2,False,2.8
18,23,5,False,4.51
4,7,3,False,2.73
9,11,2,False,4.07
7,12,5,False,3.71
6,8,2,False,3.39
3,5,2,False,2.56
5,5,0,True,0.0
8,11,3,False,3.49
10,15,5,False,3.61
12,13,1,False,3.15
10,13,3,False,3.67
6,7,1,False,3.07
7,9,2,False,3.17
17,23,6,False,4.14
3,3,0,False,2.65
10,12,2,False,4.14
28,36,8,False,5.9
5,9,4,False,2.79
25,26,1,False,5.51
12,16,4,False,4.33
19,22,3,False,4.73
12,20,8,False,4.38
10,14,4,False,3.41
3,5,2,False,2.61
7,10,3,False,3.33
11,20,9,False,4.45
5,6,1,False,2.6
11,12,1,False,3.86
12,12,0,False,3.39
12,16,4,False,4.0
16,25,9,False,5.78
5,12,7,False,2.94
5,6,1,False,3.29
10,19,9,False,3.64
11,16,5,False,3.99
7,11,4,False,3.06
11,15,4,False,3.73
4,5,1,False,2.78
7,8,1,False,3.8
23,25,2,False,4.64
12,14,2,False,3.59
4,5,1,False,2.67
7,13,6,False,3.22
9,10,1,False,4.17
14,19,5,False,4.44
14,18,4,False,4.48
5,8,3,True,0.83
7,9,2,False,2.63
6,12,6,False,2.81
5,7,2,False,3.07
9,11,2,False,3.69
4,6,2,False,2.62
5,7,2,False,2.76
6,7,1,False,3.02
8,9,1,False,4.46
4,6,2,False,2.67
17,20,3,False,5.05
2,3,1,False,2.25
6,8,2,False,2.87
3,8,5,False,2.69
3,6,3,True,0.03
10,11,1,False,3.61
12,14,2,False,3.8
19,23,4,False,5.35
9,11,2,False,3.67
6,7,1,False,3.43
5,5,0,False,3.28
7,10,3,False,3.62
5,10,5,False,2.77
7,9,2,False,3.21
12,15,3,False,4.03
15,20,5,False,4.01
14,18,4,False,4.21
9,13,4,False,3.39
6,7,1,False,3.36
3,4,1,True,0.0
12,13,1,False,4.24
8,11,3,False,3.48
5,9,4,False,3.11
3,5,2,False,2.5
18,21,3,False,5.35
5,6,1,False,2.89
17,19,2,False,4.68
13,18,5,False,4.09
4,6,2,False,2.79
9,11,2,False,3.62
6,8,2,False,2.71
9,12,3,False,3.8
5,8,3,False,3.05
11,16,5,False,4.32
16,20,4,False,5.12
11,12,1,False,3.25
12,13,1,False,4.79
9,10,1,False,3.02
12,15,3,False,3.49
14,19,5,False,3.93
8,9,1,False,3.94
7,8,1,False,3.19
12,16,4,False,3.15
2,4,2,False,2.24
6,9,3,False,3.0
14,20,6,False,3.44
8,12,4,False,3.56
14,18,4,False,5.47
4,7,3,False,2.87
5,7,2,False,3.39
26,37,11,False,6.24
9,11,2,False,4.7
5,7,2,False,2.77
8,13,5,False,3.15
13,16,3,False,4.34
13,16,3,False,3.99
6,8,2,False,2.78
10,17,7,False,3.63
11,15,4,False,3.75
5,7,2,False,2.7
4,7,3,False,2.64
12,13,1,False,4.26
3,6,3,False,3.21
12,15,3,False,50.03
18,18,0,False,5.04
3,4,1,False,2.79
9,13,4,False,4.59
11,13,2,False,4.52
12,24,12,False,4.92
4,6,2,False,2.84
6,7,1,False,3.11
9,9,0,False,3.51
4,6,2,False,2.72
4,6,2,False,2.64
9,11,2,False,3.47
10,17,7,False,3.25
17,24,7,False,4.88
3,5,2,False,15.51
6,6,0,False,3.44
5,7,2,False,15.07
8,11,3,False,31.83
10,17,7,False,3.81
14,17,3,False,4.94
12,15,3,False,4.73
7,9,2,False,3.07
14,19,5,False,4.84
12,16,4,False,4.22
10,12,2,False,3.56
13,15,2,False,3.34
9,13,4,False,3.29
1,3,2,True,0.1
12,19,7,False,4.49
12,14,2,False,5.49
14,18,4,False,4.44
1,1,0,True,0.01
10,12,2,False,4.55
7,8,1,False,3.02
9,16,7,False,3.33
7,9,2,False,3.23
2,4,2,True,0.03
9,14,5,False,3.43
12,14,2,False,3.87
25,29,4,False,5.45
10,15,5,False,3.29
6,10,4,False,2.74
3,5,2,False,2.53
10,11,1,False,3.15
9,12,3,False,3.07
8,9,1,False,3.21
8,14,6,False,4.47
7,10,3,False,3.22
7,7,0,False,3.01
8,10,2,False,3.52
7,8,1,False,2.99
8,12,4,False,3.84
19,23,4,False,5.24
5,7,2,False,3.43
8,14,6,False,3.02
5,6,1,False,2.79
8,11,3,False,3.65
5,6,1,False,3.06
7,8,1,False,3.88
14,15,1,False,4.58
6,8,2,False,3.26
4,5,1,False,3.46
7,9,2,False,3.55
7,13,6,False,2.89
12,14,2,False,4.07
8,11,3,False,3.8
2,4,2,False,2.42
3,4,1,False,2.75
3,3,0,True,0.01
,,,,
9,9,0,False,5.07
6,7,1,False,2.59
8,11,3,False,3.31
10,12,2,False,3.64
11,13,2,False,3.54
8,10,2,False,3.37
6,6,0,False,3.38
12,16,4,False,4.26
15,17,2,False,4.44
5,7,2,False,3.08
12,16,4,False,4.75
5,6,1,False,2.74
16,25,9,False,4.84
13,16,3,False,5.09
15,19,4,False,4.98
3,5,2,False,2.58
10,11,1,False,3.6
12,14,2,False,2.91
5,7,2,False,3.37
8,10,2,False,3.69
6,8,2,False,2.86
